int_rate,term,acc_open_past_24mths,annual_inc,dti,fico,loan_amnt,tot_hi_cred_lim,avg_cur_bal,total_bc_limit,period
17.76,60.0,1.0,58000.0,21.1,687.0,25475.0,141069.0,15185.0,41315.0,train
15.1,60.0,6.0,67225.0,18.84,717.0,10550.0,236320.0,24618.0,15200.0,train
14.99,36.0,3.0,40000.0,25.69,667.0,16000.0,61400.0,2200.0,36000.0,train
12.85,36.0,2.0,56000.0,13.39,662.0,6500.0,31884.0,5403.0,3100.0,train
7.89,36.0,5.0,50000.0,16.92,737.0,12000.0,109477.0,14888.0,5800.0,train
14.33,36.0,0.0,37296.0,14.74,692.0,8000.0,25211.0,3382.0,3000.0,train
13.99,60.0,10.0,105000.0,17.35,672.0,35000.0,560872.0,23720.0,31600.0,train
24.5,60.0,7.0,85000.0,24.17,662.0,18000.0,409663.0,21034.0,2500.0,train
15.8,36.0,4.0,73000.0,12.58,687.0,9600.0,35500.0,2941.0,17300.0,train
14.64,36.0,7.0,35000.0,14.85,702.0,7175.0,108584.0,5386.0,8700.0,train
9.99,36.0,13.0,55000.0,11.59,737.0,3000.0,40881.0,1476.0,6300.0,train
15.61,36.0,2.0,21000.0,13.43,677.0,1200.0,14500.0,1391.0,12600.0,train
21.7,60.0,5.0,78000.0,10.31,682.0,20800.0,248100.0,21278.0,29600.0,train
12.99,36.0,12.0,50000.0,13.65,667.0,8000.0,156663.0,5240.0,17300.0,train
10.62,36.0,,14400.0,3.33,742.0,4800.0,,,,train
16.55,60.0,14.0,90000.0,19.07,747.0,21000.0,125614.0,3620.0,51000.0,train
12.49,36.0,2.0,40000.0,25.11,667.0,10000.0,33799.0,3623.0,8500.0,train
25.8,60.0,9.0,80000.0,16.35,682.0,30000.0,59413.0,1912.0,6800.0,train
11.55,36.0,1.0,142000.0,13.38,732.0,35000.0,160600.0,6721.0,128200.0,train
17.27,60.0,2.0,67000.0,11.02,692.0,19200.0,17184.0,2654.0,11300.0,train
10.99,36.0,2.0,111500.0,14.2,697.0,6000.0,64100.0,8068.0,38000.0,train
17.76,60.0,3.0,60000.0,9.22,667.0,20000.0,22325.0,3160.0,13500.0,train
14.09,36.0,1.0,101950.0,28.1,667.0,18000.0,30248.0,3674.0,10400.0,train
6.62,36.0,,54000.0,2.78,757.0,9600.0,,,,train
9.99,36.0,1.0,75000.0,12.92,682.0,3000.0,55284.0,1742.0,11300.0,train
18.55,60.0,4.0,56000.0,16.18,697.0,20675.0,39439.0,3369.0,12200.0,train
12.99,36.0,8.0,106000.0,15.56,667.0,10000.0,311311.0,19305.0,16700.0,train
10.49,36.0,3.0,125000.0,22.0,687.0,12000.0,81963.0,5611.0,39400.0,train
13.67,36.0,2.0,40000.0,4.35,667.0,6000.0,5300.0,943.0,4800.0,train
