,0
int_rate,0.44925418
term,0.18876413
acc_open_past_24mths,0.13057274
annual_inc,0.12922864
dti,0.11929843
fico,0.08953201
loan_amnt,0.08117701
tot_hi_cred_lim,0.06864577
avg_cur_bal,0.06348067
total_bc_limit,0.061754588
funded_amnt,0.05880694
mths_since_recent_bc,0.047502562
funded_amnt_inv,0.0463908
mths_since_recent_inq,0.044778913
bc_util,0.044251796
percent_bc_gt_75,0.043346804
mort_acc,0.042715326
installment,0.042370796
num_tl_op_past_12m,0.041350912
pct_tl_nvr_dlq,0.041242853
total_il_high_credit_limit,0.04108386
mo_sin_old_rev_tl_op,0.041048083
cr_hist_months,0.04010203
mo_sin_rcnt_rev_tl_op,0.03844824
revol_bal,0.03839821
tot_cur_bal,0.038245354
total_rev_hi_lim,0.03677804
mo_sin_rcnt_tl,0.0339565
num_il_tl,0.032993704
num_rev_tl_bal_gt_0,0.03281384
num_bc_tl,0.028645298
total_bal_ex_mort,0.028263403
num_rev_accts,0.028256763
mths_since_last_delinq,0.025306838
bc_open_to_buy,0.024544172
mo_sin_old_il_acct,0.023689387
num_bc_sats,0.020344857
total_acc,0.01869896
num_actv_bc_tl,0.018549992
inq_last_6mths,0.017695716
mths_since_last_record,0.015935535
num_actv_rev_tl,0.015100287
mths_since_recent_bc_dlq,0.014534099
open_acc,0.012849127
num_accts_ever_120_pd,0.012553513
delinq_2yrs,0.012526464
mths_since_last_major_derog,0.012312603
mths_since_recent_revol_delinq,0.0100652
num_op_rev_tl,0.008563873
tot_coll_amt,0.0061600576
pub_rec_bankruptcies,0.0049706944
num_sats,0.003152362
num_tl_120dpd_2m,0.002555516
collections_12_mths_ex_med,0.0022393716
pub_rec,0.0017796505
chargeoff_within_12_mths,0.0016613947
tax_liens,0.00069671427
num_tl_90g_dpd_24m,0.00060199335
num_tl_30dpd,0.0002915645
delinq_amnt,0.00011456997
acc_now_delinq,4.6854155e-05
inq_fi,0.0
total_cu_tl,0.0
il_util,0.0
total_bal_il,0.0
open_acc_6m,0.0
open_act_il,0.0
open_il_12m,0.0
inq_last_12m,0.0
all_util,0.0
max_bal_bc,0.0
open_rv_24m,0.0
mths_since_rcnt_il,0.0
open_rv_12m,0.0
open_il_24m,0.0
